source,target,relationship_type,reason
brand,business-model,implemented_as,"เอกสารระบุเป้าหมาย B2B2C"
business-model,customer,serves,"แฟนคลับ นักสะสม และผู้สนใจ merch"
business-model,artist,partners_with,"ศิลปิน/เอเจนต์เป็น supplier"
frontend,backend,calls_api,"client API modules เรียก Express endpoints"
backend,database,persists_to,"controllers ใช้ Mongoose models"
authentication,user-model,authenticates,"User เก็บ credential และ role"
customer,authentication,uses,"บัญชีและการสั่งซื้อต้องล็อกอิน"
admin,authentication,uses,"admin route ตรวจ role"
product,category,belongs_to,"Product.category อ้างอิง Category"
product,artist,associated_with,"Product.artist อ้างอิง Artist"
product,tags,classified_by,"Product มี tags และ metadata"
category-management,category,manages,"admin CRUD category"
admin,category-management,operates,"Categories อยู่ใต้ admin route"
storefront-filter,category,loads,"Product page โหลด categories API"
storefront-filter,product,filters,"กรองด้วย category ObjectId และ metadata"
marketing-category,tags,uses,"legacy taxonomy ใช้ tags/suffix"
catalog-thai,product,is_source_catalog_for,"ข้อมูล mock product ไทย"
catalog-pop,product,is_source_catalog_for,"ข้อมูล mock product Pop Culture"
catalog-heritage,product,is_source_catalog_for,"ข้อมูล mock product Heritage"
catalog-thai,marketing-category,themed_as,"Thai Band"
catalog-pop,marketing-category,themed_as,"Pop Culture"
catalog-heritage,marketing-category,themed_as,"Thai Heritage"
customer,cart,owns,"Cart.userId อ้างอิง User"
cart,product,contains,"Cart item อ้างอิง Product"
customer,order,creates,"Order.userId อ้างอิง User"
order,product,snapshots,"Order items เก็บ snapshot สินค้า"
order,payment,has_payment,"Payment.orderId อ้างอิง Order"
payment,omise,processed_by,"บัตร charge ผ่าน Omise"
omise,backend,integrated_in,"secret key อยู่ backend"
omise,frontend,tokenized_from,"Checkout ส่ง token เท่านั้น"
order,realtime-orders,publishes_updates_to,"order events แจ้งสถานะ"
realtime-orders,account,updates,"AccountContext subscribe SSE"
customer,review,writes,"Review.userId อ้างอิง User"
review,product,reviews,"Review.productId อ้างอิง Product"
promo,cart,discounts,"ลดราคาก่อน checkout"
admin,product,manages,"จัดการสินค้าและ stock"
product-log,product,audits,"บันทึก productId และ snapshot"
admin,product-log,acts_as,"actor เป็น User ผู้แก้ไข"
home,hotspots,contains,"Home render heroHotspots"
hotspots,catalog-heritage,highlights,"hotspot อ้างถึง 07hr 05hr 02hr"
home,catalog-heritage,features,"Hero และ best sellers เน้น Heritage"
heritage-story,catalog-heritage,contextualizes,"เล่าเรื่องวัฒนธรรมของสินค้า"
news-events,home,appears_on,"LandingCarousel บน Home"
team,brand,builds,"ทีมพัฒนา Merchroom"
brand-assets,brand,represents,"โลโก้และไอคอนแบรนด์"
account,customer,serves,"พื้นที่ส่วนตัวของ customer"
admin-dashboard,admin,serves,"dashboard ใต้ admin route"
admin-dashboard,order,aggregates,"รวม order และรายได้"
admin-dashboard,product,monitors,"monitor low stock และ sales"
