id,name,description,source_files,image_paths,tags
brand,Merchroom,"แพลตฟอร์ม B2B2C สำหรับสินค้าลิขสิทธิ์","Merchroom.md|README.md","../client/assets/Merchroom-Logo/icon-mushroom.svg","brand|business"
business-model,Business model,"โมเดลรวมสินค้าและจัดการแคตตาล็อก/คำสั่งซื้อ","Merchroom.md|Docs/BMC.excalidraw","","business"
customer,Customer / Fan,"ผู้ค้นหา กรอง สั่งซื้อ และรีวิวสินค้า","Docs/use-case-diagram.excalidraw|server/models/User.js","","actor|user"
admin,Admin,"ผู้ดูแลสินค้า หมวดหมู่ คำสั่งซื้อ และลูกค้า","Docs/use-case-diagram.excalidraw|client/pages/admin/","../client/assets/source-Image/Admin_Login.jpg","actor|admin"
artist,Artist / Brand,"ศิลปินหรือแบรนด์ที่เชื่อมกับสินค้า","server/models/Artist.js|Merchroom.md","../client/assets/source-Image/arttist.jpg","actor|catalog"
frontend,React storefront,"React Router Tailwind Vite","client/src/App.jsx|README.md","","system|frontend"
backend,Express API,"route-controller-model API","server/app.js|server/routes/|server/controllers/","","system|backend"
database,MongoDB / Mongoose,"document database และ ObjectId relations","server/db.js|server/models/|Docs/er-diagram.dio","","system|database"
authentication,Authentication and roles,"login register reset password และ role","server/routes/auth.routes.js|server/middleware/auth.js","../client/assets/source-Image/Register_Login.jpg","system|security"
user-model,User,"บัญชี customer/admin และข้อมูล profile","server/models/User.js","","database|entity"
product,Product,"สินค้า ราคา สต็อก metadata tags และรูปภาพ","server/models/Product.js|server/controllers/product.controller.js","","database|catalog"
category,Database category,"หมวดหมู่ name slug description","server/models/Category.js|server/routes/category.routes.js","","database|catalog"
marketing-category,Marketing themes,"Thai Band Pop Culture Thai Heritage Artist","client/src/data/sections.js|client/pages/Product.jsx","../client/assets/source-Image/thai band.png","content|category"
tags,Tags and filters,"metadata ที่ใช้ค้นหาและกรอง","client/pages/Product.jsx|client/pages/admin/ProductMangement.jsx","","catalog|search"
category-management,Category management,"CRUD category และป้องกันลบหมวดที่มีสินค้า","client/pages/admin/CategoryManagement.jsx|server/routes/category.routes.js","","admin|catalog"
storefront-filter,Customer product filter,"โหลด category จาก API เพื่อกรองสินค้า","client/pages/Product.jsx|client/src/api/categories.api.js","","frontend|search"
catalog-thai,Thai merchandise catalog,"สินค้าไทย 18 รายการ","client/src/data/product.js","../client/assets/Thai/1.CD_Parkinson.png","catalog|thai-band|images"
catalog-pop,Pop culture catalog,"สินค้า Pop Culture 23 รายการ","client/src/data/product.js|client/assets/Eng/Link รูป.docx","../client/assets/Eng/1.Taylor-Swift_BUSINESS CROPPED TEE.png","catalog|pop-culture|images"
catalog-heritage,Thai heritage catalog,"งานหัตถกรรมไทย 7 รายการ","client/src/data/product.js","../client/assets/Heritage/1.พวงกุญแจลิเภา.png","catalog|thai-heritage|images"
cart,Cart,"ตะกร้าของผู้ใช้และรายการสินค้า","server/models/Cart.js|server/controllers/cart.controller.js","","database|transaction"
order,Order,"คำสั่งซื้อและ snapshot สินค้า","server/models/Order.js|server/controllers/order.controller.js","","database|transaction"
payment,Payment,"ธุรกรรมการชำระเงินและสถานะ","server/models/Payment.js|server/controllers/payment.controller.js","","database|transaction"
omise,Omise card payment,"tokenize และ charge บัตรโดยไม่เก็บเลขบัตรเต็ม","client/pages/Checkout.jsx|server/controllers/payment.controller.js","","payment|integration"
realtime-orders,Real-time order events,"SSE ส่งการอัปเดตคำสั่งซื้อ","server/services/orderEvents.js|client/src/context/AccountContext.jsx","","system|realtime"
review,Review,"คะแนนและความคิดเห็นต่อสินค้า","server/models/Review.js|server/routes/review.routes.js","","database|community"
promo,Promo code,"ส่วนลดและวันหมดอายุ","server/models/PromoCode.js|server/routes/promo.routes.js","","database|promotion"
product-log,Product change log,"audit trail การเปลี่ยนสินค้า","server/models/ProductChangeLog.js|server/controllers/product.controller.js","","database|admin"
home,Home and hero,"หน้าแรก Hero best sellers hotspots","client/pages/Home.jsx|client/src/data/sections.js","../client/assets/Banner/hero-banner.png","content|frontend"
hotspots,Hero hotspots,"จุดโต้ตอบที่อ้างถึงสินค้า Heritage","client/src/data/sections.js|client/src/components/ui/Hotspot.jsx","../client/assets/Heritage/7.โคมไฟเซรามิก1.png","content|interaction"
heritage-story,Thai heritage editorial page,"คอนเทนต์วัฒนธรรมและพื้นหลัง Thai silk","client/pages/ThaiHeritage.jsx","../client/assets/source-Image/BG-Hero thai silk.jpg","content|thai-heritage"
news-events,News and concert events,"ข่าวทัวร์และโปสเตอร์ใน carousel","client/src/data/sections.js|client/src/components/sections/LandingCarousel.jsx","../client/assets/Thai/maroon-5-asia-tour-2027.png","content|news|images"
team,Development team,"รายชื่อและภาพทีมพัฒนา","client/src/data/team.js|client/pages/AboutUS.jsx","../client/assets/Development-Team-Image/Nitichaya G..jpg","content|team"
brand-assets,Brand and social assets,"โลโก้และไอคอนช่องทางติดต่อ","client/src/components/ui/Logo.jsx|client/pages/AboutUS.jsx","../client/assets/Merchroom-Logo/wordmark-lime.svg","brand|images"
account,Customer account,"profile orders wishlist payment methods","client/pages/Account/|client/src/context/AccountContext.jsx","","frontend|account"
admin-dashboard,Admin dashboard and analytics,"รายได้ order stock และ sales by category","server/controllers/admin.controller.js|client/pages/admin/AdminDashboard.jsx","","admin|analytics"
